Day,Barrels
9/30/2005,988930
9/23/2005,998825
9/16/2005,996314
9/9/2005,989478
9/2/2005,993600
8/26/2005,1008473
8/19/2005,1006016
8/12/2005,1005580
8/5/2005,1008891
7/29/2005,1005508
7/22/2005,1000618
7/15/2005,1002886
7/8/2005,1000442
7/1/2005,999479
6/24/2005,997616
6/17/2005,988235
6/10/2005,985336
6/3/2005,982511
5/27/2005,982544
5/20/2005,975119
5/13/2005,971120
5/6/2005,962977
4/29/2005,956258
4/22/2005,951247
4/15/2005,944566
4/8/2005,945783
4/1/2005,939995
3/25/2005,936891
3/18/2005,931307
3/11/2005,931104
3/4/2005,936245
2/25/2005,934892
2/18/2005,934472
2/11/2005,935086
2/4/2005,936592
1/28/2005,941988
1/21/2005,945124
1/14/2005,947390
1/7/2005,944483
12/31/2004,949433
12/24/2004,951865
12/17/2004,958670
12/10/2004,959321
12/3/2004,962266
11/26/2004,956679
11/19/2004,950347
11/12/2004,948481
11/5/2004,950394
10/29/2004,947564
10/22/2004,943682
10/15/2004,942421
10/8/2004,945441
10/1/2004,946269
9/24/2004,946488
9/17/2004,945937
9/10/2004,958993
9/3/2004,962619
8/27/2004,962242
8/20/2004,963163
8/13/2004,961938
8/6/2004,960446
7/30/2004,962369
7/23/2004,959703
7/16/2004,952460
7/9/2004,950749
7/2/2004,950343
6/25/2004,944309
6/18/2004,940234
6/11/2004,935586
6/4/2004,930977
5/28/2004,927350
5/21/2004,918608
5/14/2004,917446
5/7/2004,913912
4/30/2004,911024
4/23/2004,902984
4/16/2004,896228
4/9/2004,891693
4/2/2004,896833
3/26/2004,902148
3/19/2004,896301
3/12/2004,890511
3/5/2004,888730
2/27/2004,881934
2/20/2004,879229
2/13/2004,883933
2/6/2004,885539
1/30/2004,896170
1/23/2004,898971
1/16/2004,910937
1/9/2004,911966
1/2/2004,915532
12/26/2003,912863
12/19/2003,917987
12/12/2003,921023
12/5/2003,932665
11/28/2003,936710
11/21/2003,935868
11/14/2003,942982
11/7/2003,944555
10/31/2003,949521
10/24/2003,952512
10/17/2003,949016
10/10/2003,949109
10/3/2003,950027
9/26/2003,947404
9/19/2003,942323
9/12/2003,933993
9/5/2003,923173
8/29/2003,918815
8/22/2003,913556
8/15/2003,916693
8/8/2003,915931
8/1/2003,920547
7/25/2003,914904
7/18/2003,912258
7/11/2003,914451
7/4/2003,909128
6/27/2003,908507
6/20/2003,912786
6/13/2003,913903
6/6/2003,907955
5/30/2003,905615
5/23/2003,896575
5/16/2003,895984
5/9/2003,888593
5/2/2003,889085
4/25/2003,889451
4/18/2003,882711
4/11/2003,871096
4/4/2003,868255
3/28/2003,875753
3/21/2003,870287
3/14/2003,865610
3/7/2003,868262
2/28/2003,878975
2/21/2003,881912
2/14/2003,889598
2/7/2003,896332
1/31/2003,902387
1/24/2003,919230
1/17/2003,928968
1/10/2003,935118
1/3/2003,936843
12/27/2002,938790
12/20/2002,954741
12/13/2002,960360
12/6/2002,965368
11/29/2002,960788
11/22/2002,959792
11/15/2002,964104
11/8/2002,962260
11/1/2002,967230
10/25/2002,962671
10/18/2002,965893
10/11/2002,963591
10/4/2002,965916
9/27/2002,978129
9/20/2002,986632
9/13/2002,988079
9/6/2002,993706
8/30/2002,990700
8/23/2002,996788
8/16/2002,997524
8/9/2002,996199
8/2/2002,1008745
7/26/2002,1012277
7/19/2002,1013823
7/12/2002,1016042
7/5/2002,1011612
6/28/2002,1014965
6/21/2002,1013228
6/14/2002,1014859
6/7/2002,1010164
5/31/2002,1008232
5/24/2002,1002270
5/17/2002,998755
5/10/2002,990651
5/3/2002,990056
4/26/2002,987844
4/19/2002,980795
4/12/2002,975820
4/5/2002,982188
3/29/2002,979847
3/22/2002,973361
3/15/2002,982530
3/8/2002,983285
3/1/2002,984631
2/22/2002,988046
2/15/2002,993719
2/8/2002,1000418
2/1/2002,1000514
1/25/2002,1001896
1/18/2002,1000547
1/11/2002,998574
1/4/2002,998780
12/28/2001,992919
12/21/2001,996084
12/14/2001,1003114
12/7/2001,1008484
11/30/2001,1012865
11/23/2001,1004733
11/16/2001,1003376
11/9/2001,1006026
11/2/2001,1007166
10/26/2001,1008399
10/19/2001,1009553
10/12/2001,1007961
10/5/2001,1010687
9/28/2001,1009959
9/21/2001,1004105
9/14/2001,990662
9/7/2001,990122
8/31/2001,984323
8/24/2001,986414
8/17/2001,987656
8/10/2001,994492
8/3/2001,1000970
7/27/2001,1001961
7/20/2001,1004959
7/13/2001,1004276
7/6/2001,997041
6/29/2001,996075
6/22/2001,998904
6/15/2001,996068
6/8/2001,984178
6/1/2001,983434
5/25/2001,968446
5/18/2001,959579
5/11/2001,953563
5/4/2001,945620
4/27/2001,942322
4/20/2001,923694
4/13/2001,918418
4/6/2001,910949
3/30/2001,907092
3/23/2001,909129
3/16/2001,901012
3/9/2001,902827
3/2/2001,898299
2/23/2001,902657
2/16/2001,899798
2/9/2001,907404
2/2/2001,907639
1/26/2001,906356
1/19/2001,908845
1/12/2001,906808
1/5/2001,911061
12/29/2000,914097
12/22/2000,924422
12/15/2000,931610
12/8/2000,928078
12/1/2000,938138
11/24/2000,932263
11/17/2000,932352
11/10/2000,932146
11/3/2000,928979
10/27/2000,931606
10/20/2000,937058
10/13/2000,937775
10/6/2000,949250
9/29/2000,944109
9/22/2000,938971
9/15/2000,938934
9/8/2000,945995
9/1/2000,947768
8/25/2000,942714
8/18/2000,943634
8/11/2000,942669
8/4/2000,942288
7/28/2000,940466
7/21/2000,949070
7/14/2000,942910
7/7/2000,943557
6/30/2000,936838
6/23/2000,936255
6/16/2000,930063
6/9/2000,934568
6/2/2000,930705
5/26/2000,923020
5/19/2000,922234
5/12/2000,916788
5/5/2000,912206
4/28/2000,906042
4/21/2000,900051
4/14/2000,891893
4/7/2000,889073
3/31/2000,883385
3/24/2000,879853
3/17/2000,880769
3/10/2000,879956
3/3/2000,886418
2/25/2000,878771
2/18/2000,879418
2/11/2000,884554
2/4/2000,891665
1/28/2000,896962
1/21/2000,910723
1/14/2000,918976
1/7/2000,921341
12/31/1999,927748
12/24/1999,940797
12/17/1999,953903
12/10/1999,958861
12/3/1999,972293
11/26/1999,978241
11/19/1999,982237
11/12/1999,992651
11/5/1999,1000645
10/29/1999,1009930
10/22/1999,1012104
10/15/1999,1020225
10/8/1999,1022713
10/1/1999,1030155
9/24/1999,1030614
9/17/1999,1031895
9/10/1999,1030157
9/3/1999,1034843
8/27/1999,1040635
8/20/1999,1040552
8/13/1999,1044749
8/6/1999,1047706
7/30/1999,1051663
7/23/1999,1053521
7/16/1999,1059356
7/9/1999,1058057
7/2/1999,1049421
6/25/1999,1051888
6/18/1999,1053277
6/11/1999,1057154
6/4/1999,1055888
5/28/1999,1055919
5/21/1999,1052787
5/14/1999,1052088
5/7/1999,1040286
4/30/1999,1037458
4/23/1999,1031010
4/16/1999,1030475
4/9/1999,1036615
4/2/1999,1020734
3/26/1999,1017763
3/19/1999,1021163
3/12/1999,1025273
3/5/1999,1029571
2/26/1999,1031231
2/19/1999,1042731
2/12/1999,1039886
2/5/1999,1044179
1/29/1999,1043855
1/22/1999,1043485
1/15/1999,1048817
1/8/1999,1049240
1/1/1999,1042908
12/25/1998,1059408
12/18/1998,1065780
12/11/1998,1072004
12/4/1998,1066451
11/27/1998,1059383
11/20/1998,1066577
11/13/1998,1064341
11/6/1998,1069802
10/30/1998,1066636
10/23/1998,1066409
10/16/1998,1065527
10/9/1998,1067182
10/2/1998,1074172
9/25/1998,1077049
9/18/1998,1072610
9/11/1998,1076851
9/4/1998,1074512
8/28/1998,1079767
8/21/1998,1080879
8/14/1998,1087482
8/7/1998,1083330
7/31/1998,1084522
7/24/1998,1078028
7/17/1998,1067396
7/10/1998,1058363
7/3/1998,1056508
6/26/1998,1061425
6/19/1998,1057338
6/12/1998,1053289
6/5/1998,1051361
5/29/1998,1052879
5/22/1998,1043985
5/15/1998,1037708
5/8/1998,1028238
5/1/1998,1018761
4/24/1998,1006542
4/17/1998,1003049
4/10/1998,994019
4/3/1998,984675
3/27/1998,985844
3/20/1998,982601
3/13/1998,973165
3/6/1998,978943
2/27/1998,984467
2/20/1998,986525
2/13/1998,987149
2/6/1998,994409
1/30/1998,992509
1/23/1998,994467
1/16/1998,995417
1/9/1998,987051
1/2/1998,984217
12/26/1997,984363
12/19/1997,989818
12/12/1997,1000341
12/5/1997,1000748
11/28/1997,1006668
11/21/1997,1003214
11/14/1997,1004384
11/7/1997,1003594
10/31/1997,1010992
10/24/1997,1006126
10/17/1997,1003365
10/10/1997,1004343
10/3/1997,1003834
9/26/1997,998693
9/19/1997,996369
9/12/1997,993122
9/5/1997,983738
8/29/1997,978947
8/22/1997,978939
8/15/1997,977579
8/8/1997,977552
8/1/1997,973114
7/25/1997,964843
7/18/1997,976481
7/11/1997,979173
7/4/1997,979295
6/27/1997,972936
6/20/1997,976981
6/13/1997,975500
6/6/1997,971833
5/30/1997,964144
5/23/1997,942478
5/16/1997,933099
5/9/1997,932428
5/2/1997,920862
4/25/1997,932636
4/18/1997,926085
4/11/1997,924576
4/4/1997,916012
3/28/1997,914606
3/21/1997,911834
3/14/1997,913345
3/7/1997,915461
2/28/1997,906813
2/21/1997,905517
2/14/1997,911079
2/7/1997,910484
1/31/1997,911146
1/24/1997,911038
1/17/1997,909609
1/10/1997,917827
1/3/1997,912902
12/27/1996,908724
12/20/1996,906873
12/13/1996,921080
12/6/1996,932937
11/29/1996,929174
11/22/1996,924833
11/15/1996,930282
11/8/1996,936934
11/1/1996,948287
10/25/1996,936766
10/18/1996,940483
10/11/1996,940691
10/4/1996,947319
9/27/1996,948722
9/20/1996,948919
9/13/1996,944891
9/6/1996,945687
8/30/1996,947250
8/23/1996,948814
8/16/1996,938869
8/9/1996,935031
8/2/1996,935124
7/26/1996,938419
7/19/1996,944073
7/12/1996,946936
7/5/1996,945138
6/28/1996,939283
6/21/1996,937200
6/14/1996,935539
6/7/1996,933252
5/31/1996,928731
5/24/1996,911907
5/17/1996,913649
5/10/1996,912946
5/3/1996,911821
4/26/1996,901582
4/19/1996,894645
4/12/1996,892281
4/5/1996,884561
3/29/1996,886598
3/22/1996,886222
3/15/1996,893928
3/8/1996,905042
3/1/1996,901067
2/23/1996,906505
2/16/1996,912568
2/9/1996,927649
2/2/1996,943984
1/26/1996,950819
1/19/1996,957409
1/12/1996,953816
1/5/1996,955175
12/29/1995,961968
12/22/1995,970115
12/15/1995,986733
12/8/1995,985811
12/1/1995,995012
11/24/1995,1000394
11/17/1995,992765
11/10/1995,986008
11/3/1995,995729
10/27/1995,996324
10/20/1995,1002249
10/13/1995,1005058
10/6/1995,1007590
9/29/1995,1015620
9/22/1995,1008785
9/15/1995,1007889
9/8/1995,1006632
9/1/1995,1010297
8/25/1995,995693
8/18/1995,994435
8/11/1995,1003807
8/4/1995,1000165
7/28/1995,1005347
7/21/1995,1010498
7/14/1995,1016166
7/7/1995,1010077
6/30/1995,1005353
6/23/1995,1002168
6/16/1995,1009579
6/9/1995,1007105
6/2/1995,1005547
5/26/1995,1003169
5/19/1995,992322
5/12/1995,993896
5/5/1995,989712
4/28/1995,989164
4/21/1995,994666
4/14/1995,989215
4/7/1995,991633
3/31/1995,998284
3/24/1995,997725
3/17/1995,993588
3/10/1995,994785
3/3/1995,997970
2/24/1995,994038
2/17/1995,1005809
2/10/1995,1007846
2/3/1995,1018721
1/27/1995,1018773
1/20/1995,1022771
1/13/1995,1031289
1/6/1995,1031406
12/30/1994,1029548
12/23/1994,1039788
12/16/1994,1052374
12/9/1994,1053054
12/2/1994,1064797
11/25/1994,1054421
11/18/1994,1053812
11/11/1994,1055746
11/4/1994,1056886
10/28/1994,1060133
10/21/1994,1060434
10/14/1994,1066277
10/7/1994,1070372
9/30/1994,1068985
9/23/1994,1060366
9/16/1994,1056386
9/9/1994,1051625
9/2/1994,1043303
8/26/1994,1042220
8/19/1994,1036598
8/12/1994,1033979
8/5/1994,1030418
7/29/1994,1030276
7/22/1994,1029298
7/15/1994,1022604
7/8/1994,1015131
7/1/1994,1009363
6/24/1994,1002321
6/17/1994,998839
6/10/1994,997369
6/3/1994,997148
5/27/1994,989259
5/20/1994,991174
5/13/1994,992034
5/6/1994,983759
4/29/1994,979774
4/22/1994,983924
4/15/1994,977238
4/8/1994,970134
4/1/1994,973629
3/25/1994,995732
3/18/1994,1005120
3/11/1994,996804
3/4/1994,999587
2/25/1994,999336
2/18/1994,1008431
2/11/1994,1009412
2/4/1994,1020338
1/28/1994,1022402
1/21/1994,1035294
1/14/1994,1049713
1/7/1994,1052401
12/31/1993,1065992
12/24/1993,1073010
12/17/1993,1073501
12/10/1993,1079414
12/3/1993,1078583
11/26/1993,1067113
11/19/1993,1061483
11/12/1993,1069430
11/5/1993,1064738
10/29/1993,1068926
10/22/1993,1062607
10/15/1993,1054386
10/8/1993,1063395
10/1/1993,1057882
9/24/1993,1056881
9/17/1993,1064474
9/10/1993,1064706
9/3/1993,1063295
8/27/1993,1063265
8/20/1993,1057497
8/13/1993,1066945
8/6/1993,1070273
7/30/1993,1069552
7/23/1993,1066328
7/16/1993,1070428
7/9/1993,1064318
7/2/1993,1050228
6/25/1993,1056760
6/18/1993,1043794
6/11/1993,1031283
6/4/1993,1033494
5/28/1993,1019988
5/21/1993,1003142
5/14/1993,999933
5/7/1993,995574
4/30/1993,1001847
4/23/1993,1001722
4/16/1993,997069
4/9/1993,1006099
4/2/1993,994975
3/26/1993,983794
3/19/1993,979169
3/12/1993,998843
3/5/1993,994085
2/26/1993,999858
2/19/1993,1002994
2/12/1993,1017125
2/5/1993,1010055
1/29/1993,1016486
1/22/1993,1024322
1/15/1993,1027978
1/8/1993,1017925
1/1/1993,1016078
12/25/1992,1017853
12/18/1992,1042070
12/11/1992,1051993
12/4/1992,1053084
11/27/1992,1053654
11/20/1992,1049483
11/13/1992,1047675
11/6/1992,1054676
10/30/1992,1052862
10/23/1992,1054998
10/16/1992,1046409
10/9/1992,1044104
10/2/1992,1045871
9/25/1992,1044946
9/18/1992,1042791
9/11/1992,1036065
9/4/1992,1028077
8/28/1992,1028054
8/21/1992,1041586
8/14/1992,1034798
8/7/1992,1036067
7/31/1992,1038546
7/24/1992,1029838
7/17/1992,1027403
7/10/1992,1033882
7/3/1992,1028015
6/26/1992,1023803
6/19/1992,1017251
6/12/1992,1022485
6/5/1992,1010204
5/29/1992,1003498
5/22/1992,993600
5/15/1992,993599
5/8/1992,987401
5/1/1992,985153
4/24/1992,987409
4/17/1992,990053
4/10/1992,982424
4/3/1992,982898
3/27/1992,988630
3/20/1992,1001320
3/13/1992,1001487
3/6/1992,1005530
2/28/1992,1009200
2/21/1992,996328
2/14/1992,997860
2/7/1992,1006390
1/31/1992,1015725
1/24/1992,1029214
1/17/1992,1037551
1/10/1992,1041664
1/3/1992,1042440
12/27/1991,1036177
12/20/1991,1045154
12/13/1991,1056136
12/6/1991,1059296
11/29/1991,1054719
11/22/1991,1053842
11/15/1991,1055156
11/8/1991,1052724
11/1/1991,1057216
10/25/1991,1065198
10/18/1991,1066457
10/11/1991,1077918
10/4/1991,1077191
9/27/1991,1079958
9/20/1991,1079280
9/13/1991,1072777
9/6/1991,1073242
8/30/1991,1076411
8/23/1991,1069745
8/16/1991,1056705
8/9/1991,1056717
8/2/1991,1055981
7/26/1991,1052759
7/19/1991,1050214
7/12/1991,1048036
7/5/1991,1041915
6/28/1991,1042635
6/21/1991,1043797
6/14/1991,1043130
6/7/1991,1035306
5/31/1991,1030237
5/24/1991,1011949
5/17/1991,1000578
5/10/1991,991698
5/3/1991,983180
4/26/1991,980979
4/19/1991,969526
4/12/1991,967443
4/5/1991,962808
3/29/1991,967127
3/22/1991,974757
3/15/1991,979144
3/8/1991,982108
3/1/1991,987670
2/22/1991,997069
2/15/1991,996098
2/8/1991,991365
2/1/1991,992089
1/25/1991,995322
1/18/1991,997267
1/11/1991,1006734
1/4/1991,1014451
12/28/1990,1028176
12/21/1990,1039671
12/14/1990,1051147
12/7/1990,1053049
11/30/1990,1064982
11/23/1990,1064458
11/16/1990,1064285
11/9/1990,1077463
11/2/1990,1080252
10/26/1990,1079612
10/19/1990,1076105
10/12/1990,1084519
10/5/1990,1093180
9/28/1990,1098462
9/21/1990,1107920
9/14/1990,1106268
9/7/1990,1103207
8/31/1990,1093853
8/24/1990,1093287
8/17/1990,1090799
8/10/1990,1086473
8/3/1990,1099217
7/27/1990,1103760
7/20/1990,1095244
7/13/1990,1093138
7/6/1990,1084142
6/29/1990,1079161
6/22/1990,1078157
6/15/1990,1079877
6/8/1990,1076090
6/1/1990,1073856
5/25/1990,1058657
5/18/1990,1047606
5/11/1990,1033465
5/4/1990,1035614
4/27/1990,1034678
4/20/1990,1022754
4/13/1990,1027447
4/6/1990,1026553
3/30/1990,1026232
3/23/1990,1028171
3/16/1990,1025649
3/9/1990,1033756
3/2/1990,1037097
2/23/1990,1032660
2/16/1990,1052636
2/9/1990,1053257
2/2/1990,1050719
1/26/1990,1032697
1/19/1990,1019846
1/12/1990,1013190
1/5/1990,1004329
